date	rate
28-Dec-2007	7.3046
02-Jan-2008	7.2996
03-Jan-2008	7.2775
04-Jan-2008	7.2779
07-Jan-2008	7.2695
08-Jan-2008	7.2791
09-Jan-2008	7.2723
10-Jan-2008	7.2805
11-Jan-2008	7.2672
14-Jan-2008	7.2566
15-Jan-2008	7.2454
16-Jan-2008	7.2418
17-Jan-2008	7.2545
18-Jan-2008	7.2571
21-Jan-2008	7.2598
22-Jan-2008	7.2556
23-Jan-2008	7.235
24-Jan-2008	7.2293
25-Jan-2008	7.2065
28-Jan-2008	7.1996
29-Jan-2008	7.202
30-Jan-2008	7.1998
31-Jan-2008	7.1853
01-Feb-2008	7.1903
04-Feb-2008	7.1923
05-Feb-2008	7.1846
06-Feb-2008	7.1846
08-Feb-2008	7.1846
11-Feb-2008	7.1846
12-Feb-2008	7.1846
13-Feb-2008	7.1952
14-Feb-2008	7.189
15-Feb-2008	7.1763
18-Feb-2008	7.1667
19-Feb-2008	7.1574
20-Feb-2008	7.1452
21-Feb-2008	7.1503
22-Feb-2008	7.1463
25-Feb-2008	7.146
26-Feb-2008	7.1505
27-Feb-2008	7.1455
28-Feb-2008	7.1209
29-Feb-2008	7.1058
03-Mar-2008	7.1058
04-Mar-2008	7.1175
05-Mar-2008	7.1172
06-Mar-2008	7.1168
07-Mar-2008	7.109
10-Mar-2008	7.108
11-Mar-2008	7.1029
12-Mar-2008	7.1069
13-Mar-2008	7.097
14-Mar-2008	7.0882
17-Mar-2008	7.0815
18-Mar-2008	7.087
19-Mar-2008	7.0648
20-Mar-2008	7.0512
21-Mar-2008	7.0593
24-Mar-2008	7.0518
25-Mar-2008	7.0436
26-Mar-2008	7.0252
27-Mar-2008	7.013
28-Mar-2008	7.0137
31-Mar-2008	7.019
01-Apr-2008	7.0218
02-Apr-2008	7.0292
03-Apr-2008	7.0192
07-Apr-2008	7.002
08-Apr-2008	7.0015
09-Apr-2008	7.0025
10-Apr-2008	6.992
11-Apr-2008	7.0012
14-Apr-2008	6.9993
15-Apr-2008	6.9963
16-Apr-2008	7.0047
17-Apr-2008	6.9895
18-Apr-2008	7.0006
21-Apr-2008	7.0078
22-Apr-2008	6.9912
23-Apr-2008	6.9837
24-Apr-2008	6.989
25-Apr-2008	6.9949
28-Apr-2008	6.998
29-Apr-2008	6.9898
30-Apr-2008	7.0002
05-May-2008	7.0016
06-May-2008	6.9888
07-May-2008	6.9848
08-May-2008	7.001
09-May-2008	7.0005
12-May-2008	6.982
13-May-2008	6.9887
14-May-2008	6.9987
15-May-2008	7
16-May-2008	6.9895
19-May-2008	6.9712
20-May-2008	6.978
21-May-2008	6.9597
22-May-2008	6.9428
23-May-2008	6.9498
27-May-2008	6.9432
28-May-2008	6.9408
29-May-2008	6.9402
30-May-2008	6.9472
02-Jun-2008	6.9372
03-Jun-2008	6.9295
04-Jun-2008	6.9356
05-Jun-2008	6.9394
06-Jun-2008	6.9238
09-Jun-2008	6.9238
10-Jun-2008	6.9199
11-Jun-2008	6.9209
12-Jun-2008	6.9015
13-Jun-2008	6.9018
16-Jun-2008	6.9028
17-Jun-2008	6.8919
18-Jun-2008	6.8823
19-Jun-2008	6.8796
20-Jun-2008	6.8826
23-Jun-2008	6.8676
24-Jun-2008	6.8736
25-Jun-2008	6.8684
26-Jun-2008	6.8634
27-Jun-2008	6.861
30-Jun-2008	6.8591
01-Jul-2008	6.8608
02-Jul-2008	6.8621
03-Jul-2008	6.8529
04-Jul-2008	6.8639
07-Jul-2008	6.8567
08-Jul-2008	6.8581
09-Jul-2008	6.8632
10-Jul-2008	6.8489
11-Jul-2008	6.8397
14-Jul-2008	6.8266
15-Jul-2008	6.823
16-Jul-2008	6.8128
17-Jul-2008	6.8189
18-Jul-2008	6.8238
21-Jul-2008	6.8271
22-Jul-2008	6.8219
23-Jul-2008	6.8279
24-Jul-2008	6.8297
25-Jul-2008	6.8255
28-Jul-2008	6.8277
29-Jul-2008	6.8205
30-Jul-2008	6.8351
31-Jul-2008	6.8388
01-Aug-2008	6.8423
04-Aug-2008	6.8471
05-Aug-2008	6.8501
06-Aug-2008	6.8525
07-Aug-2008	6.8555
08-Aug-2008	6.8585
11-Aug-2008	6.8638
12-Aug-2008	6.8659
13-Aug-2008	6.8628
14-Aug-2008	6.863
15-Aug-2008	6.8649
18-Aug-2008	6.8665
19-Aug-2008	6.8599
20-Aug-2008	6.8529
21-Aug-2008	6.8518
22-Aug-2008	6.8357
25-Aug-2008	6.8397
26-Aug-2008	6.84
27-Aug-2008	6.8415
28-Aug-2008	6.8326
29-Aug-2008	6.8345
02-Sep-2008	6.8359
03-Sep-2008	6.8398
04-Sep-2008	6.841
05-Sep-2008	6.8436
08-Sep-2008	6.8455
09-Sep-2008	6.8399
10-Sep-2008	6.8406
11-Sep-2008	6.8457
12-Sep-2008	6.8458
16-Sep-2008	6.8203
17-Sep-2008	6.829
18-Sep-2008	6.8201
19-Sep-2008	6.8276
22-Sep-2008	6.8243
23-Sep-2008	6.8009
24-Sep-2008	6.8129
25-Sep-2008	6.8197
26-Sep-2008	6.8183
06-Oct-2008	6.8321
07-Oct-2008	6.8345
08-Oct-2008	6.8319
09-Oct-2008	6.831
10-Oct-2008	6.8327
13-Oct-2008	6.8287
14-Oct-2008	6.8278
15-Oct-2008	6.8272
16-Oct-2008	6.8295
17-Oct-2008	6.8311
20-Oct-2008	6.8297
21-Oct-2008	6.8309
22-Oct-2008	6.8339
23-Oct-2008	6.8368
24-Oct-2008	6.8357
27-Oct-2008	6.836
28-Oct-2008	6.8369
29-Oct-2008	6.8318
30-Oct-2008	6.827
31-Oct-2008	6.8258
03-Nov-2008	6.8288
04-Nov-2008	6.8261
05-Nov-2008	6.824
06-Nov-2008	6.8252
07-Nov-2008	6.8277
10-Nov-2008	6.8252
11-Nov-2008	6.8265
12-Nov-2008	6.8291
13-Nov-2008	6.8295
14-Nov-2008	6.8289
17-Nov-2008	6.8303
18-Nov-2008	6.828
19-Nov-2008	6.8293
20-Nov-2008	6.8307
21-Nov-2008	6.8317
24-Nov-2008	6.8304
25-Nov-2008	6.8284
26-Nov-2008	6.8272
27-Nov-2008	6.8292
28-Nov-2008	6.8349
01-Dec-2008	6.8505
02-Dec-2008	6.8527
03-Dec-2008	6.8502
04-Dec-2008	6.8502
05-Dec-2008	6.8482
